"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.0,11.01332947,10.73377572,10.8859965,10.94589647,10.8799059,10.61527439,10.85746931,10.49412655,10.54789557,10.57721883,11.11701002,11.32776131,10.74703917
5.0E-5,11.01333889,10.73381868,10.88603988,10.94594095,10.87995045,10.6153191,10.85748809,10.49416717,10.54792818,10.57724881,11.11705385,11.32779881,10.74708173
1.0E-4,11.01334807,10.73386065,10.88608225,10.9459844,10.87999398,10.61536285,10.85750623,10.49420679,10.54796,10.57727807,11.11709661,11.32783489,10.7471233
1.5E-4,11.01335698,10.73390163,10.88612358,10.94602681,10.88003647,10.61540563,10.85752375,10.49424541,10.54799102,10.57730661,11.11713828,11.32786953,10.74716386
2.0E-4,11.01336564,10.73394158,10.88616386,10.94606816,10.88007792,10.61544742,10.85754062,10.49428302,10.54802122,10.57733442,11.11717886,11.32790273,10.74720341
2.5E-4,11.01337403,10.73398051,10.88620309,10.94610843,10.88011831,10.6154882,10.85755685,10.4943196,10.5480506,10.57736149,11.11721832,11.32793446,10.74724192
3.0E-4,11.01338216,10.7340184,10.88624123,10.94614761,10.88015762,10.61552796,10.85757242,10.49435513,10.54807915,10.57738781,11.11725666,11.32796472,10.74727938
3.5E-4,11.01339003,10.73405523,10.88627829,10.94618569,10.88019584,10.6155667,10.85758734,10.49438961,10.54810685,10.57741337,11.11729386,11.3279935,10.74731579
4.0E-4,11.01339762,10.73409099,10.88631424,10.94622266,10.88023295,10.61560438,10.8576016,10.49442302,10.5481337,10.57743816,11.1173299,11.32802078,10.74735112
4.5E-4,11.01340493,10.73412567,10.88634908,10.94625849,10.88026895,10.61564101,10.85761519,10.49445536,10.54815968,10.57746217,11.11736478,11.32804657,10.74738537
5.0E-4,11.01341198,10.73415925,10.88638279,10.94629318,10.88030382,10.61567656,10.85762811,10.4944866,10.5481848,10.57748539,11.11739848,11.32807084,10.74741852
5.5E-4,11.01341874,10.73419173,10.88641536,10.94632672,10.88033755,10.61571103,10.85764035,10.49451675,10.54820903,10.57750782,11.11743099,11.3280936,10.74745057
6.0E-4,11.01342522,10.7342231,10.88644678,10.9463591,10.88037013,10.6157444,10.85765191,10.49454578,10.54823237,10.57752945,11.11746229,11.32811482,10.74748149
6.5E-4,11.01343142,10.73425333,10.88647704,10.94639029,10.88040154,10.61577666,10.85766279,10.49457369,10.54825481,10.57755027,11.11749239,11.32813452,10.74751128
7.0E-4,11.01343733,10.73428243,10.88650612,10.9464203,10.88043177,10.6158078,10.85767298,10.49460047,10.54827635,10.57757027,11.11752126,11.32815267,10.74753994
